name	points	error	time(us)	time per city(us)	distance	optimal_distance
berlin52	52	5.720000	250.000000	4.810000	7973.629883	7542.000000
st70	70	4.030000	494.000000	7.060000	702.210022	675.000000
eil76	76	6.100000	755.000000	9.930000	570.799988	538.000000
pr76	76	4.440000	765.000000	10.070000	112965.250000	108159.000000
kroA100	100	3.480000	1576.000000	15.760000	22022.210938	21282.000000
kroC100	100	4.320000	1349.000000	13.490000	21645.830078	20749.000000
kroD100	100	3.870000	2084.000000	20.840000	22118.060547	21294.000000
rd100	100	2.960000	1385.000000	13.850000	8143.919922	7910.000000
eil101	101	5.490000	1976.000000	19.559999	663.530029	629.000000
lin105	105	5.900000	1765.000000	16.809999	15227.559570	14379.000000
ch130	130	5.600000	3071.000000	23.620001	6451.919922	6110.000000
ch150	150	9.550000	5407.000000	36.049999	7151.419922	6528.000000
tsp225	225	4.660000	19827.000000	88.120003	4098.509766	3916.000000
a280	280	7.160000	36695.000000	131.050003	2763.530029	2579.000000
pcb442	442	7.860000	132595.000000	299.989990	54771.109375	50778.000000
pr1002	1002	8.100000	1413649.000000	1410.829956	280030.656250	259045.000000
pr2392	2392	10.050000	22980268.000000	9607.139648	416033.687500	378032.000000
